cpf,idade,renda_anual,sexo
908.231.657-95,27,450747,Masculino
153.482.097-32,28,98006,Feminino
583.407.261-53,51,487899,Masculino
485.361.907-01,41,296088,Masculino
028.635.974-00,47,240773,Masculino
631.275.809-59,40,454780,Masculino
137.689.054-20,40,160371,Masculino
298.754.136-82,29,198563,Masculino
365.270.918-77,53,94025,Masculino
059.364.217-16,53,436988,Masculino
695.483.027-56,26,498866,Masculino
160.573.294-06,26,113218,Masculino
547.102.369-25,30,405925,Masculino
149.782.356-00,41,428938,Masculino
532.698.714-73,31,191349,Feminino
187.254.093-79,26,214686,Masculino
816.053.942-89,47,332525,Masculino
123.569.840-89,28,394500,Masculino
048.751.296-02,27,152956,Masculino
728.190.354-50,35,112493,Masculino
093.862.157-21,26,92704,Masculino
602.197.384-40,33,202265,Feminino
610.237.984-50,36,382967,Masculino
617.895.203-12,34,273511,Masculino
273.184.590-23,26,353672,Masculino
603.291.485-24,34,148295,Masculino
486.531.207-26,32,372692,Masculino
830.247.659-56,29,172008,Masculino
251.740.398-88,40,352552,Feminino
352.687.190-68,41,124488,Feminino
082.957.413-14,31,184013,Feminino
968.520.713-59,34,199166,Masculino
649.817.032-87,40,341847,Masculino
267.051.834-62,37,135684,Masculino
503.197.246-70,35,330951,Masculino
362.954.781-82,45,147990,Masculino
984.210.753-14,25,114335,Masculino
580.219.437-50,33,162263,Feminino
706.938.521-86,40,277317,Masculino
513.248.706-80,44,136991,Masculino
280.716.359-95,42,261202,Masculino
362.174.905-52,28,168513,Masculino
730.586.914-75,41,278492,Feminino
613.987.405-00,29,314006,Masculino
128.956.043-98,37,363357,Feminino
731.956.084-48,37,408472,Feminino
295.431.607-16,48,101249,Masculino
720.365.418-44,37,417148,Masculino
391.857.204-88,35,182450,Masculino
657.923.840-29,41,423996,Feminino
125.879.406-30,34,193598,Feminino
602.193.487-31,47,250486,Masculino
512.307.648-44,55,153163,Masculino
761.053.482-07,26,417093,Masculino
096.458.317-84,35,452922,Masculino
620.537.419-61,35,224553,Masculino
403.257.986-56,34,451334,Masculino
607.158.432-90,30,240415,Masculino
452.968.130-06,39,201485,Feminino
783.052.194-88,41,163398,Masculino
571.289.340-14,39,368187,Masculino
431.287.605-35,25,176227,Feminino
602.183.495-05,51,297122,Feminino
179.083.245-41,27,330481,Masculino
694.310.287-78,29,498784,Masculino
940.267.185-49,40,466245,Masculino
371.025.896-03,28,312727,Masculino
145.278.603-80,34,255108,Masculino
054.128.693-51,32,443446,Feminino
630.942.157-34,34,379277,Feminino
835.461.207-44,26,354870,Masculino
501.689.274-11,30,99385,Masculino
340.156.879-57,42,86933,Masculino
634.519.708-48,34,474047,Masculino
032.416.578-17,37,334038,Masculino
643.721.095-80,35,136567,Masculino
471.852.603-53,47,288566,Masculino
510.684.293-05,40,313031,Feminino
857.246.930-38,33,257845,Masculino
209.873.561-86,42,257227,Masculino
126.398.540-89,31,489844,Masculino
940.578.621-02,31,155539,Masculino
642.357.180-53,37,465620,Feminino
059.436.721-25,42,240322,Masculino
749.380.516-48,31,465220,Feminino
485.293.706-00,26,464030,Feminino
146.358.072-07,29,272616,Masculino
415.236.908-60,30,186221,Masculino
907.245.613-07,47,320761,Feminino
637.904.825-10,35,465789,Masculino
327.149.086-40,33,442590,Masculino
763.804.951-93,41,411578,Feminino
824.175.963-00,30,404941,Masculino
297.814.503-04,28,334678,Masculino
562.019.478-76,37,131279,Masculino
942.075.863-00,28,268751,Feminino
546.870.132-44,46,366583,Masculino
074.928.561-30,40,259029,Masculino
026.798.541-01,36,90435,Masculino
627.380.914-31,25,176824,Masculino
368.247.510-90,48,201259,Masculino
618.470.295-58,33,91880,Masculino
265.914.083-98,35,175066,Feminino
802.694.351-15,33,251888,Masculino
963.278.150-30,39,140395,Masculino
859.467.301-93,34,286390,Masculino
081.469.527-20,30,232829,Masculino
245.690.817-11,27,303176,Masculino
386.741.520-07,39,276730,Masculino
572.638.149-19,40,335287,Masculino
760.314.958-48,42,387517,Masculino
403.267.851-08,32,306685,Feminino
683.915.024-06,28,368481,Masculino
596.127.083-12,53,338830,Feminino
132.964.507-34,54,190874,Masculino
508.914.627-67,28,403560,Masculino
217.386.509-95,48,182328,Masculino
897.105.624-01,42,449775,Masculino
154.972.630-70,33,449125,Masculino
297.064.153-43,31,454152,Masculino
738.592.401-88,29,110682,Feminino
196.853.427-09,30,336619,Feminino
620.913.854-33,41,335170,Feminino
905.123.864-98,34,392156,Masculino
364.918.072-31,35,162850,Masculino
793.842.615-64,33,305553,Masculino
190.863.572-02,29,401815,Masculino
259.037.461-52,33,377221,Masculino
624.107.893-31,30,250244,Masculino
406.217.938-50,45,143423,Masculino
354.068.912-51,41,390324,Masculino
359.817.206-03,35,384998,Feminino
974.021.568-85,28,189889,Masculino
249.106.753-61,26,277195,Feminino
507.263.914-25,34,391325,Masculino
697.458.012-67,29,258225,Feminino
794.312.608-40,29,102854,Feminino
961.328.450-89,36,227652,Masculino
135.749.628-19,54,327939,Feminino
409.385.672-92,53,492356,Masculino
194.720.536-61,28,123398,Masculino
175.203.849-50,36,89512,Masculino
501.894.276-20,32,298019,Feminino
918.630.452-60,28,447871,Masculino
032.156.478-26,33,256231,Feminino
891.275.306-12,35,487508,Masculino
068.271.354-62,48,199215,Feminino
721.534.689-73,28,316645,Masculino
401.785.963-10,54,205017,Masculino
210.584.639-42,29,139789,Feminino
106.925.874-11,43,323131,Masculino
758.321.604-44,39,87996,Masculino
253.064.781-07,31,204531,Masculino
483.795.216-09,36,156988,Masculino
259.683.740-47,39,426900,Masculino
483.016.952-42,25,82476,Masculino
786.594.103-00,33,349063,Masculino
516.048.237-71,41,459922,Masculino
948.362.170-40,29,363976,Masculino
586.420.731-44,45,106895,Masculino
590.376.418-57,36,212074,Masculino
572.163.849-46,41,98951,Masculino
942.850.371-14,37,459878,Masculino
680.592.714-58,36,206985,Masculino
509.326.418-06,52,154316,Masculino
726.935.041-80,32,109970,Feminino
280.697.351-12,42,141113,Masculino
685.017.923-30,41,224856,Masculino
584.902.167-11,40,474414,Masculino
801.547.692-58,29,270685,Masculino
236.840.751-08,31,492613,Masculino
394.186.275-82,40,197822,Feminino
351.829.460-15,31,420550,Masculino
123.456.908-60,42,193592,Masculino
516.978.430-93,41,116394,Masculino
938.027.416-50,32,310198,Feminino
237.984.160-87,33,496697,Masculino
825.413.069-89,36,324752,Masculino
380.649.527-00,40,352906,Masculino
196.857.023-30,36,275070,Masculino
042.568.317-62,37,334786,Masculino
275.894.316-64,37,304237,Masculino
751.260.894-20,28,187516,Masculino
608.347.592-92,29,356859,Masculino
130.647.285-71,28,242756,Feminino
064.879.512-85,42,202255,Masculino
584.072.913-23,30,255649,Feminino
809.253.471-32,42,173865,Masculino
412.697.853-46,28,471004,Feminino
671.035.849-66,35,222187,Feminino
407.693.518-75,42,96350,Masculino
432.507.186-53,40,274754,Feminino
850.791.264-85,34,343924,Masculino
073.194.586-75,36,115638,Masculino
145.269.873-28,35,225792,Masculino
760.285.194-30,48,330182,Masculino
193.726.584-64,48,209213,Feminino
041.536.982-70,26,117594,Masculino
659.741.038-66,50,296208,Masculino
032.918.564-06,49,399966,Feminino
163.845.972-09,34,354055,Masculino
154.723.968-91,30,324150,Masculino
298.345.601-33,31,273576,Masculino
782.563.094-74,30,400420,Feminino
426.385.097-10,29,308377,Masculino
923.875.640-65,35,188214,Masculino
439.178.062-31,31,494577,Masculino
236.150.974-16,33,166646,Masculino
276.980.145-76,39,194041,Masculino
285.431.069-15,33,180305,Feminino
604.218.937-96,49,215658,Masculino
746.395.801-93,51,370774,Masculino
469.837.510-00,49,244079,Masculino
654.732.980-10,35,119851,Masculino
520.164.937-80,35,499490,Masculino
965.320.418-15,33,438779,Feminino
786.451.309-39,33,426342,Masculino
419.873.502-60,42,85212,Masculino
056.894.213-24,36,297518,Masculino
905.827.463-29,39,158384,Feminino
412.836.975-64,30,144701,Masculino
723.956.018-02,35,185193,Masculino
381.260.547-35,41,361723,Masculino
537.408.916-10,36,383456,Feminino
084.513.296-24,29,126510,Masculino
621.487.903-31,30,281353,Masculino
197.435.802-04,31,234666,Masculino
756.280.194-02,27,311419,Masculino
478.915.236-73,29,366726,Masculino
014.629.387-87,30,143115,Masculino
197.630.852-68,31,316867,Feminino
413.085.729-05,30,133765,Masculino
326.104.987-13,34,351809,Masculino
327.594.618-82,35,112569,Masculino
230.789.461-69,35,367775,Feminino
265.038.491-33,31,277784,Masculino
482.016.375-26,37,268557,Feminino
728.940.316-96,32,334946,Masculino
231.895.046-60,36,399885,Masculino
289.407.531-60,29,350139,Masculino
317.258.946-37,30,334251,Masculino
024.638.719-03,37,365011,Masculino
972.035.146-25,42,324989,Masculino
536.740.298-47,36,99891,Masculino
594.630.278-74,36,120756,Masculino
329.657.180-95,32,173543,Masculino
269.735.048-92,29,210064,Masculino
961.472.350-52,29,262360,Feminino
089.732.561-30,26,412244,Masculino
371.594.620-25,35,280197,Feminino
572.964.813-82,39,193035,Masculino
092.317.856-21,33,279797,Masculino
648.025.173-35,32,150839,Feminino
574.602.391-43,40,243309,Masculino
490.127.568-20,42,432899,Feminino
276.481.059-85,33,403949,Masculino
950.467.382-10,33,387435,Feminino
749.631.802-78,50,201836,Feminino
642.907.183-96,29,356660,Feminino
390.625.174-80,30,352089,Masculino
402.981.376-31,29,120909,Masculino
582.439.176-91,42,139333,Masculino
139.027.846-87,40,319508,Masculino
290.138.567-21,43,216028,Masculino
069.754.281-58,31,407900,Masculino
670.834.591-93,32,476359,Masculino
509.138.247-04,36,447321,Masculino
038.597.146-00,27,404254,Masculino
295.364.178-55,26,284754,Feminino
586.421.037-44,28,205879,Masculino
412.387.506-80,36,286841,Feminino
985.421.036-70,37,230132,Masculino
746.581.329-82,28,339909,Feminino
095.231.846-60,29,184995,Masculino
215.834.079-79,47,95472,Feminino
094.758.623-74,34,217109,Masculino
139.250.674-34,37,448067,Masculino
295.374.601-34,48,193441,Masculino
176.934.520-52,37,256578,Masculino
284.701.935-97,27,341687,Masculino
403.129.578-23,41,287788,Feminino
697.123.845-19,37,117059,Feminino
645.209.317-70,44,350598,Masculino
963.521.470-70,27,387196,Feminino
504.938.617-93,46,136251,Masculino
365.024.187-08,25,367597,Masculino
917.602.843-78,34,492439,Masculino
361.498.527-09,40,393847,Masculino
735.961.084-20,31,169777,Masculino
092.381.754-97,30,93505,Masculino
748.912.635-55,32,277253,Feminino
825.673.904-56,39,149276,Feminino
678.942.103-31,30,407548,Feminino
405.739.681-01,43,133274,Masculino
485.326.017-07,27,112718,Masculino
837.296.510-21,27,459310,Masculino
145.863.790-57,50,367770,Masculino
374.516.290-07,25,133092,Masculino
594.301.726-70,43,247446,Masculino
582.047.613-17,26,254888,Masculino
945.730.612-07,28,108173,Feminino
150.967.324-52,39,329641,Masculino
871.624.950-01,37,438329,Masculino
794.861.023-50,49,258028,Masculino
546.329.017-25,31,409037,Feminino
217.903.458-04,41,422869,Masculino
298.730.645-83,37,119087,Masculino
150.476.382-35,35,96716,Feminino
501.243.978-32,37,410564,Masculino
534.198.760-84,30,354343,Masculino
142.098.357-14,27,81691,Masculino
724.801.569-58,35,302625,Masculino
625.149.380-15,32,293759,Feminino
361.249.758-82,26,420689,Masculino
047.621.983-31,28,197716,Masculino
103.758.924-60,35,418834,Masculino
826.507.149-30,26,329695,Masculino
602.371.845-08,36,132358,Masculino
361.509.247-34,25,223338,Masculino
357.194.260-43,43,333403,Masculino
238.456.907-47,28,357543,Masculino
945.378.062-65,31,302823,Feminino
519.380.624-42,30,497129,Masculino
358.410.792-04,28,372198,Masculino
068.759.124-49,30,375679,Masculino
921.874.506-94,44,311072,Feminino
674.359.081-93,44,227058,Feminino
895.127.064-58,29,371712,Masculino
916.275.083-68,39,325253,Masculino
027.384.951-41,46,460184,Masculino
402.637.159-06,26,227436,Masculino
027.896.315-30,25,89644,Feminino
560.479.218-76,40,192228,Masculino
024.937.561-34,31,405380,Masculino
072.536.149-25,33,159702,Masculino
487.013.259-14,40,305752,Masculino
360.752.189-12,27,221103,Feminino
547.310.962-43,26,423745,Masculino
165.734.209-34,54,245072,Masculino
097.836.514-39,30,145968,Masculino
321.976.458-46,26,243613,Feminino
096.532.748-56,35,496349,Masculino
236.814.790-03,25,114269,Masculino
482.957.160-85,33,313911,Masculino
081.342.796-78,45,495335,Masculino
830.419.675-10,47,449335,Masculino
807.254.691-02,27,469039,Masculino
680.957.342-92,39,345178,Masculino
451.627.089-76,35,114408,Masculino
028.345.971-97,35,382711,Feminino
786.425.301-62,46,196983,Feminino
589.214.370-88,37,377825,Masculino
279.165.384-82,47,255050,Masculino
634.527.980-38,40,465057,Masculino
847.031.529-32,35,488055,Masculino
098.472.153-32,39,476145,Feminino
329.710.854-14,28,376349,Masculino
470.815.369-48,36,166755,Masculino
762.534.108-90,28,490323,Masculino
603.957.281-77,30,449842,Feminino
753.129.086-30,36,186195,Masculino
897.426.351-37,29,407420,Masculino
127.860.493-69,28,126602,Masculino
284.016.739-50,50,335804,Feminino
305.894.621-05,25,324793,Feminino
637.192.458-37,42,415033,Masculino
038.756.421-71,36,492471,Feminino
098.473.256-00,27,349686,Feminino
498.375.162-91,51,391325,Masculino
254.368.910-98,35,280837,Feminino
358.149.762-09,25,354461,Masculino
640.173.825-17,34,114039,Masculino
731.490.628-96,37,169187,Masculino
280.531.769-68,40,160307,Masculino
248.635.071-35,27,306581,Masculino
425.038.697-00,28,337547,Masculino
315.276.980-68,30,388233,Masculino
065.738.124-17,28,261710,Masculino
086.231.975-77,41,180403,Masculino
421.837.605-08,36,124969,Masculino
193.820.567-77,42,429706,Masculino
758.369.021-86,42,191415,Masculino
825.340.917-60,37,235284,Masculino
467.203.591-34,33,384349,Masculino
263.915.874-00,49,417986,Feminino
084.971.625-01,35,118406,Feminino
172.596.803-77,36,113267,Masculino
471.639.508-10,33,259454,Masculino
109.768.254-49,33,250114,Feminino
784.195.230-97,25,405270,Masculino
875.491.263-64,35,496392,Feminino
312.957.406-99,36,215828,Masculino
043.281.697-69,35,193155,Masculino
293.876.540-10,35,109808,Masculino
071.458.396-01,26,466128,Masculino
502.361.849-89,28,462437,Feminino
361.875.942-82,29,203211,Feminino
540.638.172-53,36,469478,Masculino
061.879.245-76,28,266642,Masculino
065.318.724-62,35,173603,Masculino
370.486.125-17,40,274333,Masculino
241.673.589-64,39,125280,Feminino
304.681.957-93,42,138041,Feminino
274.198.653-37,31,444273,Masculino
194.630.782-31,34,216014,Masculino
689.037.542-47,35,108188,Masculino
412.085.379-97,42,488537,Masculino
986.075.134-00,47,289021,Masculino
462.138.705-71,29,387487,Masculino
861.429.370-40,31,97393,Masculino
078.526.413-26,41,312392,Masculino
487.293.651-55,31,433925,Masculino
218.307.954-14,26,478600,Masculino
175.439.602-06,36,477377,Masculino
157.384.296-64,41,498269,Masculino
431.906.875-01,44,487698,Feminino
217.346.089-78,28,105914,Masculino
840.193.627-69,34,121804,Masculino
260.537.489-00,29,415319,Feminino
093.581.672-03,27,258821,Masculino
973.041.526-99,28,377581,Feminino
542.319.870-41,39,118740,Masculino
719.350.246-80,30,338339,Masculino
023.498.671-96,27,119246,Masculino
156.908.327-40,39,264436,Masculino
014.762.593-99,33,475685,Feminino
352.941.780-79,44,454529,Masculino
316.058.974-93,33,243007,Masculino
126.578.039-03,29,258178,Masculino
740.621.583-53,28,409993,Masculino
710.435.826-90,41,474881,Feminino
627.934.580-74,42,287216,Masculino
983.745.026-65,34,426318,Masculino
805.476.219-49,43,162175,Masculino
564.071.982-67,27,293208,Masculino
486.701.592-01,33,383213,Feminino
067.532.918-30,37,397334,Masculino
540.728.631-90,42,279515,Feminino
458.026.739-74,52,426371,Feminino
175.286.309-77,26,92166,Masculino
352.814.076-35,27,398861,Masculino
829.501.674-11,35,279164,Feminino
948.261.705-30,31,254044,Feminino
971.405.683-75,32,493838,Feminino
926.830.541-06,33,103087,Masculino
189.650.432-98,37,177686,Masculino
381.940.276-40,31,275179,Masculino
619.750.382-40,35,167073,Masculino
920.183.645-70,35,432267,Masculino
097.215.468-01,26,479366,Masculino
536.180.274-35,34,137529,Masculino
892.453.071-23,25,174803,Feminino
926.413.758-00,26,345965,Masculino
293.458.610-33,34,277958,Masculino
538.124.769-91,34,466672,Masculino
453.609.817-84,30,375369,Feminino
723.659.018-59,29,480441,Masculino
903.862.541-33,29,386289,Masculino
653.298.147-82,28,448591,Masculino
594.801.236-06,39,299874,Masculino
826.057.413-62,40,231116,Feminino
649.185.032-33,37,107310,Masculino
184.507.936-10,30,232907,Feminino
023.578.196-77,28,160057,Masculino
869.142.503-24,33,260049,Masculino
406.981.372-13,26,208790,Feminino
570.681.249-76,25,235821,Masculino
509.317.628-12,37,280775,Feminino
753.849.612-28,40,279092,Masculino
918.320.574-88,35,91319,Masculino
320.164.795-07,34,299514,Masculino
046.193.578-39,40,392450,Feminino
624.951.783-91,39,248403,Masculino
974.362.501-16,43,461518,Masculino
364.051.972-80,35,93995,Feminino
512.874.903-79,37,431997,Masculino
182.370.569-30,35,277701,Masculino
951.627.380-77,25,329498,Masculino
531.406.987-39,34,212914,Masculino
657.390.481-84,36,434124,Masculino
903.842.617-87,37,491644,Masculino
437.056.281-35,37,492154,Feminino
726.193.045-80,36,89511,Masculino
019.752.648-94,37,385310,Masculino
645.930.827-65,39,187246,Masculino
153.798.642-28,34,279513,Masculino
724.901.865-58,42,476153,Masculino
806.314.592-51,43,233153,Masculino
910.327.654-61,27,263789,Feminino
186.930.574-48,39,193329,Feminino
806.142.357-07,49,168103,Masculino
638.741.509-84,35,284695,Masculino
068.453.917-93,42,191232,Masculino
913.420.678-78,33,272489,Masculino
529.308.614-60,37,84964,Masculino
625.704.831-17,28,394925,Masculino
341.976.805-20,30,420239,Masculino
793.186.504-93,30,146890,Feminino
712.690.853-95,34,447616,Masculino
310.572.469-99,40,198351,Masculino
923.768.410-03,40,244106,Feminino
845.371.926-82,37,353442,Masculino
276.319.845-73,27,494328,Feminino
683.175.920-30,33,298595,Masculino
764.381.209-87,35,195573,Feminino
054.819.763-66,29,115674,Masculino
418.295.736-91,42,271567,Feminino
940.527.613-16,31,181441,Masculino
798.214.630-96,32,198868,Masculino
071.386.549-01,33,255637,Masculino
389.652.410-06,37,214277,Masculino
950.386.471-20,48,491590,Masculino
168.329.075-59,34,306090,Masculino
086.254.317-71,40,181787,Masculino
057.834.962-00,36,234852,Masculino
712.580.463-26,36,266259,Feminino
418.325.670-44,42,173286,Masculino
729.485.613-37,30,330720,Masculino
793.146.582-28,33,415054,Masculino
132.495.078-14,39,450791,Masculino
820.413.967-50,35,146913,Masculino
184.769.320-22,51,396200,Masculino
127.043.895-60,31,209135,Masculino
419.680.523-05,55,235801,Masculino
105.286.739-12,41,406591,Masculino
186.043.927-69,34,466114,Masculino
381.642.095-89,43,269789,Masculino
108.392.476-13,41,419561,Feminino
524.901.768-11,33,300589,Masculino
615.279.380-77,35,266927,Feminino
275.619.043-80,27,343831,Masculino
324.791.506-07,41,129861,Masculino
782.960.514-94,30,389519,Masculino
156.092.483-70,35,229653,Masculino
298.516.740-01,50,281936,Masculino
082.734.519-41,27,236191,Masculino
724.963.105-52,37,346193,Masculino
814.590.726-85,30,145013,Feminino
967.342.105-61,41,337194,Feminino
597.320.861-30,40,395323,Masculino
149.825.607-49,26,173863,Masculino
376.259.418-09,39,196216,Feminino
810.926.547-20,35,358088,Masculino
421.685.093-60,29,302627,Masculino
739.208.514-04,28,360401,Masculino
632.159.804-60,30,198794,Masculino
805.136.279-95,48,341591,Masculino
027.893.164-22,36,97960,Masculino
879.042.653-38,34,119124,Masculino
563.102.947-25,31,427784,Masculino
485.173.290-23,28,98319,Feminino
130.857.249-23,34,278706,Feminino
104.586.732-26,25,106184,Feminino
753.618.209-03,44,484665,Masculino
023.498.615-89,39,453041,Masculino
189.605.437-48,33,89585,Feminino
058.247.691-76,44,371419,Masculino
275.943.081-23,41,370011,Masculino
509.412.376-99,33,314195,Masculino
864.091.253-05,27,115048,Feminino
630.892.715-59,30,399784,Masculino
361.724.890-03,39,139575,Masculino
135.769.820-86,39,342873,Masculino
458.167.392-55,36,119486,Masculino
890.314.762-69,28,147066,Masculino
702.185.496-01,31,153358,Masculino
639.847.502-00,44,210005,Feminino
578.409.216-20,41,169170,Masculino
321.896.457-19,36,363344,Masculino
079.324.185-50,40,285109,Masculino
426.859.701-85,31,461938,Masculino
382.745.160-44,34,438860,Masculino
564.298.710-02,37,336075,Feminino
893.150.276-12,33,150260,Feminino
435.780.196-66,35,273967,Feminino
057.268.493-29,26,474223,Feminino
956.147.308-93,35,307725,Masculino
973.418.026-69,32,308272,Feminino
768.392.510-12,29,294992,Feminino
329.716.548-00,29,169647,Feminino
167.329.805-21,34,347839,Masculino
512.048.639-89,46,330522,Masculino
934.670.512-43,37,492511,Masculino
794.513.028-32,44,108433,Feminino
859.301.246-98,28,154413,Masculino
654.071.983-39,29,158235,Feminino
183.065.427-62,43,183635,Masculino
129.048.537-23,42,347006,Feminino
196.542.703-07,41,240387,Masculino
416.392.870-78,31,99078,Masculino
657.103.982-68,28,405430,Masculino
531.987.240-23,43,468125,Masculino
907.612.358-68,44,380490,Masculino
025.634.987-83,35,499879,Masculino
950.487.123-23,36,264857,Masculino
164.870.253-80,35,126556,Masculino
670.541.938-57,34,395801,Masculino
859.106.374-01,35,176822,Masculino
619.452.837-00,44,156208,Masculino
091.257.346-52,35,401262,Masculino
041.623.859-98,43,350815,Masculino
350.718.249-14,43,418144,Masculino
467.305.218-80,34,308249,Masculino
519.724.638-37,39,316528,Masculino
541.320.897-97,25,258478,Masculino
024.158.967-30,29,189863,Masculino
736.195.824-91,31,132077,Masculino
203.145.687-35,34,323082,Feminino
695.470.182-30,41,486022,Masculino
953.467.218-19,55,384411,Feminino
458.073.692-38,33,322995,Feminino
173.845.629-37,44,476590,Masculino
510.839.762-30,34,428530,Masculino
893.461.720-96,49,333723,Masculino
760.829.514-76,34,323073,Masculino
326.094.517-25,33,179176,Masculino
486.315.709-66,34,354601,Masculino
034.271.685-90,35,116019,Masculino
713.825.046-08,39,118552,Masculino
358.607.124-80,45,408091,Masculino
924.035.871-41,36,460743,Feminino
739.248.650-00,40,230244,Masculino
380.427.591-50,36,351338,Feminino
986.371.405-48,34,319989,Masculino
896.751.042-01,30,321893,Masculino
265.784.019-11,33,435797,Masculino
104.985.673-20,40,132961,Masculino
681.325.947-46,37,114803,Masculino
290.875.613-77,27,201138,Masculino
921.685.370-03,39,373605,Masculino
184.729.360-31,47,161956,Masculino
581.039.762-02,37,466370,Masculino
795.064.281-58,44,321528,Masculino
670.425.813-26,27,239916,Masculino
560.298.731-21,32,428447,Feminino
352.814.960-42,28,161416,Masculino
213.780.594-41,51,152062,Masculino
510.897.623-21,33,274542,Masculino
210.734.568-62,35,458499,Feminino
520.837.614-80,41,388059,Masculino
964.072.835-74,37,438928,Masculino
730.459.816-66,37,163904,Feminino
863.519.472-19,51,183199,Feminino
281.906.734-40,29,488499,Masculino
367.104.982-04,51,237486,Feminino
438.065.917-84,31,154044,Masculino
210.795.438-05,29,304045,Masculino
018.735.964-48,33,472251,Masculino
164.507.829-94,35,226819,Masculino
264.508.391-98,37,489805,Masculino
405.623.781-62,44,122556,Masculino
463.280.957-83,26,158060,Masculino
061.327.498-96,29,106036,Masculino
714.809.623-50,34,273719,Masculino
796.508.231-40,30,117159,Masculino
062.318.795-77,32,441416,Masculino
379.128.564-55,36,126498,Masculino
347.208.196-13,34,220540,Masculino
179.560.384-48,36,405112,Feminino
709.123.468-50,34,200183,Masculino
163.982.750-12,35,334154,Masculino
503.769.281-40,51,382432,Feminino
316.497.825-19,31,151519,Feminino
105.264.783-90,27,241591,Masculino
794.056.823-00,30,373981,Feminino
598.436.210-42,35,363456,Feminino
907.218.534-04,27,420963,Masculino
846.920.357-65,47,298720,Feminino
613.270.584-80,50,413235,Masculino
836.029.741-03,34,419749,Masculino
275.386.904-92,37,218193,Masculino
968.721.053-21,28,187832,Feminino
479.163.028-96,29,188159,Masculino
536.412.097-06,35,146028,Masculino
576.109.823-77,36,444447,Masculino
517.809.632-03,26,150599,Feminino
427.938.165-82,42,346362,Masculino
013.852.479-32,34,433110,Masculino
564.290.813-89,35,98255,Masculino
274.301.596-99,27,396780,Masculino
703.569.128-68,34,82216,Masculino
528.174.369-46,37,336795,Masculino
821.470.635-17,31,239479,Feminino
219.630.587-12,35,349860,Masculino
761.524.039-52,29,253998,Feminino
294.851.376-64,36,112377,Masculino
039.514.728-04,47,222898,Masculino
587.693.214-00,30,493243,Masculino
368.057.924-10,28,413258,Feminino
654.730.291-16,27,186380,Masculino
092.684.173-40,31,177132,Masculino
298.316.075-03,41,316275,Masculino
581.043.927-60,33,251253,Masculino
794.168.502-76,40,252567,Masculino
037.692.514-07,48,271798,Masculino
695.428.301-06,33,473209,Masculino
048.319.275-97,30,443539,Feminino
749.568.120-94,27,280057,Masculino
235.819.460-33,37,265752,Masculino
348.601.257-62,43,225636,Feminino
597.683.104-48,42,316824,Feminino
396.541.872-64,34,265194,Masculino
397.418.520-88,33,275355,Masculino
640.853.719-75,39,490589,Feminino
657.809.324-92,39,445225,Masculino
809.351.624-70,28,125640,Masculino
295.467.081-94,40,104953,Feminino
084.279.513-88,36,239273,Feminino
938.527.046-00,31,165691,Masculino
160.978.432-40,40,199514,Masculino
574.916.230-34,29,115114,Masculino
468.130.792-04,29,236933,Masculino
251.679.803-21,43,304573,Masculino
759.124.380-23,25,192088,Masculino
903.742.158-04,39,86426,Masculino
380.925.167-40,29,392652,Masculino
307.584.926-00,31,290077,Masculino
940.862.731-87,51,99149,Masculino
162.043.895-05,37,459888,Masculino
519.724.368-64,44,334803,Masculino
964.051.378-48,47,176350,Masculino
157.438.062-17,31,478488,Masculino
451.798.260-20,54,294020,Masculino
560.872.493-38,28,209547,Masculino
594.318.276-46,32,115411,Masculino
680.295.147-94,35,475892,Masculino
710.845.632-07,29,340226,Masculino
017.364.829-04,30,495295,Masculino
934.280.561-24,37,448893,Masculino
940.578.613-00,25,86667,Masculino
638.754.901-93,30,172029,Masculino
685.910.274-85,34,140611,Masculino
194.706.352-99,26,352883,Masculino
246.378.590-00,31,345470,Masculino
859.607.314-01,49,491347,Masculino
283.071.694-96,36,86851,Feminino
615.832.047-17,48,414487,Masculino
108.624.739-69,29,125277,Masculino
603.458.172-90,43,231966,Feminino
387.125.049-04,28,347861,Feminino
394.572.806-10,40,93390,Masculino
287.156.340-35,27,221768,Masculino
793.812.654-37,26,378756,Feminino
802.561.349-60,43,83126,Masculino
136.590.274-99,37,193625,Feminino
075.824.396-00,34,326129,Masculino
193.874.650-39,30,459961,Feminino
214.396.807-87,40,312295,Masculino
912.534.708-04,47,81480,Feminino
624.508.917-49,35,441668,Feminino
390.156.472-16,41,475000,Feminino
084.759.632-00,30,212736,Masculino
130.594.278-79,53,244440,Feminino
457.038.261-44,30,454639,Masculino
419.286.357-09,32,97632,Masculino
468.750.319-57,33,394530,Feminino
169.802.437-13,41,363515,Masculino
276.341.059-61,35,96786,Masculino
362.845.910-98,39,279467,Masculino
053.481.697-57,37,471368,Feminino
057.982.634-10,26,301878,Feminino
035.468.192-33,37,163001,Feminino
106.538.492-06,48,116791,Masculino
547.839.206-56,32,496780,Masculino
034.256.817-53,36,310619,Masculino
134.568.279-46,47,381068,Feminino
502.693.481-15,29,155009,Masculino
628.039.475-10,39,258252,Masculino
513.496.270-70,33,408431,Feminino
102.954.378-04,34,311886,Masculino
063.984.217-87,51,302551,Feminino
459.762.038-92,28,492856,Masculino
815.493.206-70,28,274965,Masculino
293.184.605-89,29,329866,Masculino
678.429.315-00,42,353448,Feminino
257.643.819-91,25,257061,Masculino
